municipality,province,latitude,longitude,surface_km2,surface_land_km2,surface_water_km2,population,avg_household_income_2012,avg_woz_2014,ww_ratio_2014,murders_2014,university,asylum_migrants_1999,asylum_migrants_2000,asylum_migrants_2001,asylum_migrants_2002,asylum_migrants_2003,asylum_migrants_2004,asylum_migrants_2005,asylum_migrants_2006,asylum_migrants_2007,asylum_migrants_2008,asylum_migrants_2009,asylum_migrants_2010,asylum_migrants_2011,asylum_migrants_2012,asylum_migrants_2013,asylum_migrants_2014,asylum_migrants_2015,flag_color1,flag_color2,flag_color3,flag_color4,shield_symbol_1,shield_symbol_2,shield_symbol_3,shieldholder_1,shieldholder_2,shield_crown
Lingewaard,Gelderland,51.903.891,5.935.221,69.1,62.2,6.9,45814,36000,231000,0.05,0,0,175,160,165,150,135,135,120,110,105,100,100,100,90,90,80,80,85,white,blue,yellow,pink,swan,stronghold,,,,crown
Lisse,Zuid-Holland,52.257.930,4.557.483,16.1,15.7,0.4,22376,36600,251000,0.04,0,0,80,80,85,75,75,65,65,65,65,60,65,65,60,65,65,65,65,yellow,blue,,,lion,,,,,
Lochem,Gelderland,52.158.665,6.409.816,215.9,213.2,2.7,33268,38500,282000,0.05,0,0,100,90,85,75,75,65,60,55,50,60,60,60,60,50,50,50,45,yellow,blue,,,lion,tower,flower,,,crown
Loon op Zand,Noord-Brabant,51.627.014,5.072.009,50.7,50.2,0.6,23104,36600,242000,0.05,0,0,45,45,45,45,45,50,45,40,45,45,50,45,45,40,40,30,30,white,yellow,black,red,horn,hammer,,,,
Lopik,Utrecht,51.974.861,4.945.148,79.0,75.8,3.2,14000,39500,267000,0.03,0,0,25,25,35,25,25,20,15,10,10,10,10,10,10,10,10,10,10,yellow,blue,red,white,crown,,,,,
Loppersum,Groningen,53.332.175,6.747.987,112.0,111.0,1.0,10181,32400,153000,0.04,0,0,40,35,30,25,25,10,10,15,10,15,10,10,10,15,10,10,5,red,white,yellow,,eagle,key,lance,,,crown
Losser,Overijssel,52.262.852,7.005.785,99.6,99.8,0.8,22619,34100,206000,0.05,0,0,75,80,75,70,65,55,60,55,50,50,55,55,55,60,55,50,50,white,red,,,cross,bisshop,,,,
Maasdriel,Gelderland,51.768.907,5.323.304,75.5,66.0,9.4,24197,37600,266000,0.04,0,0,80,80,75,55,50,45,40,30,35,30,35,35,35,30,30,25,25,blue,red,white,yellow,church,moon,parrot,,,crown
Maasgouw,Limburg,51.167.805,5.884.140,58.0,45.8,12.2,23888,35100,202000,0.04,0,0,65,70,65,65,65,65,50,40,45,50,40,40,40,45,40,45,40,blue,white,yellow,,sword,staff,,,,crown
Maassluis,Zuid-Holland,51.922.607,4.254.566,10.1,8.5,1.6,32097,34200,187000,0.04,0,0,240,215,200,185,185,200,175,175,165,160,155,150,150,145,145,140,135,blue,white,,,lable,wave,,,,sword
Maastricht,Limburg,50.851.368,5.690.973,60.0,56.8,3.2,122331,30400,178000,0.03,2,1,740,790,780,790,835,825,785,730,730,720,695,690,705,695,700,680,660,red,white,,,star,,,,,angel
Marum,Groningen,53.146.252,6.267.326,64.9,64.5,0.4,10350,34200,215000,0.04,0,0,30,35,20,25,20,10,10,5,5,10,10,5,5,10,5,5,5,white,green,red,,mountain,corn,trefoil,,,crown
Medemblik,Noord-Holland,52.767.447,5.106.918,257.6,121.8,135.8,43331,35600,219000,0.04,1,0,155,135,125,130,115,105,100,70,60,50,55,45,45,45,45,45,45,yellow,black,blue,,,,,lion,lion,crown
Meerssen,Limburg,50.884.943,5.752.637,27.6,27.1,0.5,19259,35600,226000,0.04,0,0,75,75,90,90,100,95,80,75,75,65,60,60,60,55,45,45,40,yellow,blue,black,,eagle,lily,,,,
Meierijstad,Noord-Brabant,51.613.704,5.548.213,185.5,184.1,1.4,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,cross,moon,stronghold,,,crown
Meppel,Drenthe,52.692.123,6.193.719,57.0,55.7,1.3,32875,32700,190000,0.05,0,0,120,115,115,120,120,100,100,100,95,90,90,85,80,75,70,70,75,white,green,red,black,trefoil,,,,,crown
Middelburg,Zeeland,51.498.796,3.610.998,53.0,48.5,4.5,47660,33000,177000,0.04,1,0,435,355,310,275,285,255,230,225,215,200,195,190,185,180,185,180,185,red,yellow,,,tower,,,,,eagle
Midden-Delfland,Zuid-Holland,51.954.201,4.288.310,49.4,47.4,2.0,18449,42700,280000,0.03,0,0,30,25,25,25,20,20,15,15,20,25,25,25,25,25,20,20,20,blue,green,white,yellow,,,,,,
Midden-Drenthe,Drenthe,52.861.104,6.512.304,345.9,341.0,4.9,33368,34600,202000,0.04,0,0,380,250,125,100,90,85,80,75,70,65,65,65,60,60,65,60,55,green,yellow,,,lily,cross,eagle,horse,horse,crown
Midden-Groningen,Groningen,53.214.825,6.503.424,,,,,,,,0,0,,,,,,,,,,,,,,,,,,purple,white,,,sea dragon,wheel,bush,,,crown
Mill en Sint Hubert,Noord-Brabant,51.679.806,5.755.381,53.2,52.3,0.9,10843,36300,256000,0.04,0,0,45,35,30,30,25,20,25,25,20,20,20,15,15,15,10,10,10,yellow,black,blue,,saint willibrord,,,,,
Moerdijk,Noord-Brabant,51.660.156,4.513.072,184.0,159.2,24.8,36775,36600,215000,0.04,1,0,135,180,135,85,75,70,65,65,60,60,60,55,55,55,60,50,50,black,yellow,white,green,cross,diamond,,,,crown
Molenwaard,Zuid-Holland,51.892.130,4.798.340,126.5,118.3,8.2,29043,40300,245000,0.02,0,0,80,80,80,85,75,60,50,40,40,35,35,25,25,25,20,15,15,white,orange,blue,,mill,reedmace,,,,crown
Montferland,Gelderland,51.919.617,6.246.311,106.6,105.7,1.0,34985,34100,208000,0.05,0,0,170,165,150,155,140,135,120,100,90,85,85,85,70,60,60,55,60,white,green,blue,black,lion,,,,,crown
Montfoort,Utrecht,52.036.213,4.951.859,38.2,37.7,0.5,13639,41200,264000,0.03,0,0,30,30,35,35,40,40,35,25,25,20,15,15,10,10,10,10,10,grey,black,red,,stronghold,millrind,,lion,lion,crown
Mook en Middelaar,Limburg,51.751.230,5.881.630,18.8,17.4,1.4,7783,40400,276000,0.04,0,0,45,35,45,40,40,35,30,30,25,20,20,20,15,20,20,20,20,red,blue,yellow,white,saint lambert,saint antony,lion,,,crown
Neder-Betuwe,Gelderland,51.930.937,5.574.103,68.2,60.6,7.5,22591,37300,220000,0.03,0,0,65,60,60,40,40,40,30,30,30,35,30,35,30,25,20,15,15,blue,white,yellow,red,lion,wolf,,,,crown
Nederweert,Limburg,51.286.563,5.752.701,101.8,100.2,1.6,16773,36100,237000,0.04,0,0,55,45,45,50,30,25,20,20,20,15,15,15,15,15,15,15,15,blue,green,white,,wave,,,,,crown
Neerijnen,Gelderland,51.831.902,5.279.356,72.9,66.0,6.9,12022,39900,271000,0.03,0,0,45,40,40,35,25,25,25,20,20,15,15,15,10,10,10,10,5,red,white,blue,,lion,salmon,,,,crown
Nieuwegein,Utrecht,52.024.821,5.091.819,25.7,23.7,2.0,61017,35200,206000,0.04,0,0,265,280,295,310,285,270,275,270,260,295,285,295,290,290,290,290,290,red,blue,white,,tower,wave,,,,
Nieuwkoop,Zuid-Holland,52.150.056,4.777.359,91.2,78.9,12.3,27114,38800,271000,0.03,0,0,95,85,80,85,75,55,50,45,35,35,30,30,25,25,25,20,20,red,yellow,black,,wheel,eagle,fox,,,crown
Nijkerk,Gelderland,52.222.484,5.483.563,72.1,69.5,2.6,40600,37800,263000,0.04,0,0,170,150,145,140,140,140,130,120,115,110,105,105,100,95,95,90,85,blue,yellow,white,red,lion,lily,cross,,,crown
Nijmegen,Gelderland,51.812.563,5.837.226,57.6,53.6,4.0,168499,30900,191000,0.04,0,1,1210,1250,1280,1265,1270,1215,1205,1155,1140,1145,1130,1105,1105,1115,1105,1105,1085,black,red,,,lion,eagle,,,,crown
Nissewaard,Zuid-Holland,51.848.034,4.328.748,98.7,82.3,16.5,85083,,,,0,0,295,295,295,305,300,300,305,310,310,305,285,275,275,275,280,280,265,white,green,blue,,lion,cross,wave,,,crown
Noord-Beveland,Zeeland,51.570.283,3.771.484,121.5,85.8,35.7,7508,32900,199000,0.05,0,0,30,25,25,25,25,25,25,20,15,15,10,5,5,5,5,5,5,white,red,yellow,black,star,wave,diamond,,,crown
Noordenveld,Drenthe,53.095.093,6.445.541,205.3,201.0,4.3,31110,34800,215000,0.04,0,0,110,105,85,85,85,70,55,40,30,25,25,25,30,30,30,25,20,green,yellow,black,white,trefoil,,,,,crown
Noordoostpolder,Flevoland,52.692.622,5.737.842,595.4,460.3,135.1,46372,32900,176000,0.04,2,0,125,115,115,115,130,125,120,120,105,85,80,80,80,75,80,75,75,white,blue,red,black,lily,stronghold,,,,crown
Noordwijk,Zuid-Holland,52.239.989,4.450.009,51.5,35.5,16.0,25689,38300,328000,0.04,0,0,100,90,85,85,90,85,80,80,80,80,80,75,75,70,75,70,70,white,black,,,lion,,,,,
Noordwijkerhout,Zuid-Holland,52.260.194,4.495.584,23.4,22.6,0.8,15982,36600,266000,0.03,0,0,55,55,50,55,50,45,45,40,35,35,35,40,35,40,45,45,45,blue,yellow,,,lion,,,,,crown
"Nuenen, Gerwen en Nederwetten",Noord-Brabant,51.478.251,5.556.858,33.9,33.7,0.2,22596,41000,298000,0.04,0,0,40,45,60,65,65,70,70,70,65,60,60,60,55,55,55,50,45,red,white,black,yellow,lion,star,rose,,,crown
Nunspeet,Gelderland,52.374.772,5.769.895,129.5,128.8,0.7,26707,36600,261000,0.03,0,0,115,115,115,110,105,100,85,70,65,65,60,65,60,60,55,55,50,yellow,black,white,,deer,,,,,crown
Nuth,Limburg,50.911.427,5.892.596,33.1,33.1,0.0,15577,35900,198000,0.04,0,0,285,205,125,90,45,40,40,40,35,35,35,30,30,30,35,35,30,red,white,yellow,,lion,martlet,,,,crown
Oegstgeest,Zuid-Holland,52.186.226,4.474.810,8.0,7.3,0.7,22855,45500,320000,0.03,0,0,180,165,95,75,70,65,70,70,70,60,55,55,50,45,40,50,45,yellow,red,,,cross,,,,,crown
Oirschot,Noord-Brabant,51.504.448,5.308.463,102.8,101.8,1.1,17989,39800,312000,0.04,0,0,55,50,50,45,50,50,45,45,40,40,40,35,30,30,30,30,30,blue,white,green,,lion,oak,bass,,,crown
Oisterwijk,Noord-Brabant,51.565.424,5.203.028,65.1,63.9,1.2,25835,38200,317000,0.03,0,0,100,90,75,80,85,90,95,85,80,65,60,55,55,50,50,50,50,white,red,,,stronghold,,,,,
Oldambt,Groningen,53.203.691,7.052.970,295.9,227.8,68.2,38558,29300,133000,0.05,0,0,485,350,275,225,175,150,145,135,120,105,90,90,75,70,60,60,60,blue,yellow,white,red,star,wave,,,,crown
Oldebroek,Gelderland,52.447.445,5.898.317,98.8,97.7,1.2,22824,35500,235000,0.04,0,0,115,105,95,95,85,80,70,70,60,50,50,45,45,45,40,30,30,blue,yellow,green,white,leaf,,,,,
Oldenzaal,Overijssel,52.311.655,6.926.828,22.0,21.6,0.4,32152,34000,201000,0.05,0,0,125,130,130,125,130,125,125,135,130,125,120,120,115,120,120,125,125,blue,yellow,,,cross,bisshop,,,,crown
Olst-Wijhe,Overijssel,52.351.896,6.127.076,118.4,114.1,4.3,17760,35500,227000,0.04,0,0,55,55,45,35,30,25,25,20,10,15,20,15,20,20,20,15,15,green,blue,,,haystack,tree,dove,,,crown
Ommen,Overijssel,52.506.652,6.435.289,182.0,180.0,2.0,17370,35000,242000,0.05,0,0,65,40,40,40,35,35,25,20,20,15,15,5,5,5,5,5,5,yellow,blue,white,,maiden,lion,star,,,crown
Onderbanken,Limburg,50.969.852,5.965.396,21.2,21.2,0.1,7882,32900,168000,0.04,0,0,30,35,35,35,35,40,35,35,30,25,25,25,25,25,20,20,20,white,green,black,,lion,sword,snake,,,crown
Oost Gelre,Gelderland,51.990.117,6.567.068,110.1,109.7,0.5,29648,35100,198000,0.05,0,0,145,115,110,105,80,75,60,55,60,60,55,50,45,50,45,40,45,purple,white,,,stronghold,lion,,,,
Oosterhout,Noord-Brabant,51.641.020,4.861.690,73.1,71.5,1.6,53733,35800,225000,0.05,1,0,135,125,115,125,125,125,125,125,135,140,140,140,125,125,120,120,125,white,black,,,moon,,,lion,lion,crown
Ooststellingwerf,Friesland,52.988.319,6.270.427,226.1,224.2,2.0,25672,31400,180000,0.05,0,0,80,65,45,35,45,40,30,20,20,20,20,20,20,20,25,25,25,red,white,,,,,,,,
Oostzaan,Noord-Holland,52.440.497,4.875.722,16.1,11.5,4.6,9154,39300,265000,0.03,0,0,35,40,35,35,35,35,30,25,20,20,20,20,15,15,10,10,10,yellow,blue,black,green,trident,,,,,crown
Opmeer,Noord-Holland,52.705.379,4.942.667,41.9,41.6,0.4,11374,36700,233000,0.03,1,0,20,20,20,15,15,10,10,10,15,15,10,10,5,5,5,5,5,yellow,red,blue,,lion,corn,tree,eagle,lion,crown
Opsterland,Friesland,53.039.542,6.115.320,227.6,224.6,3.0,29894,33800,191000,0.05,0,0,145,115,115,90,70,65,60,50,55,50,50,50,45,40,35,35,35,white,red,green,,tree,hare,,,,crown
Oss,Noord-Brabant,51.761.180,5.514.048,159.9,152.4,7.5,85039,34900,213000,0.04,0,0,305,335,335,325,325,315,300,280,270,265,255,260,255,255,250,250,235,white,red,yellow,blue,ox,,,,,crown
Oud-Beijerland,Zuid-Holland,51.818.930,4.427.236,19.6,18.8,0.9,23727,39400,227000,0.03,0,0,50,55,55,45,50,50,55,65,60,65,60,60,60,55,55,55,55,blue,white,yellow,red,,,,,,crown
Oude IJsselstreek,Gelderland,51.911.046,6.405.564,137.9,136.4,1.5,39614,32500,198000,0.05,0,0,160,140,130,110,105,105,105,95,90,85,85,80,80,80,75,70,70,white,purple,green,,lion,wave,ring,,,crown
Ouder-Amstel,Noord-Holland,52.285.929,4.913.383,25.8,24.1,1.7,13255,43200,294000,0.03,0,0,85,80,80,80,70,70,70,70,70,75,75,70,70,65,65,65,65,red,black,white,,cross,,,,,crown
Oudewater,Utrecht,52.024.163,4.868.417,40.1,39.1,1.0,9868,39600,283000,0.03,0,0,10,10,5,0,0,0,0,5,5,5,5,10,5,10,10,5,10,red,white,,,stronghold,lion,,lion,lion,crown
Overbetuwe,Gelderland,51.932.775,5.781.465,115.1,109.4,5.7,46653,37300,235000,0.04,0,0,145,150,140,135,140,135,130,125,115,110,110,125,120,115,115,110,105,yellow,blue,white,red,stronghold,boat,coffin,,,crown
Papendrecht,Zuid-Holland,51.842.481,4.694.183,10.8,9.5,1.3,32140,36500,190000,0.04,0,0,80,90,95,115,100,110,125,115,110,110,110,110,110,110,105,100,95,blue,yellow,,,mill,,,,,
Peel en Maas,Limburg,51.339.919,6.012.298,161.4,159.4,1.9,43298,36200,229000,0.05,0,0,170,170,155,140,135,125,125,115,110,100,85,90,90,85,90,85,85,white,black,red,,diamond,cross,,,,crown
Pekela,Groningen,53.085.241,6.977.881,50.2,49.1,1.1,12733,28400,132000,0.05,0,0,30,30,25,30,35,30,30,30,20,20,15,15,5,0,5,0,0,white,red,black,blue,ship,bell,trefoil,,,crown
Pijnacker-Nootdorp,Zuid-Holland,52.012.698,4.427.355,38.6,37.4,1.3,51068,42300,268000,0.03,0,0,85,90,80,80,75,75,80,100,105,120,135,140,140,140,145,135,135,blue,yellow,,,snake,,,,,crown
Purmerend,Noord-Holland,52.514.381,4.964.061,24.6,23.4,1.2,79552,34400,189000,0.04,0,0,295,305,315,360,365,370,370,365,355,365,365,370,370,375,365,370,365,yellow,black,red,,,,,lion,lion,crown
Putten,Gelderland,52.245.301,5.568.482,87.4,85.1,2.3,24044,37900,292000,0.03,0,0,125,125,135,130,130,130,120,110,95,90,85,80,80,80,80,75,80,yellow,blue,,,deer,,,,,
Raalte,Overijssel,52.380.903,6.278.318,172.3,171.1,1.2,36526,36000,238000,0.04,0,0,190,175,175,170,170,155,135,125,105,100,95,90,80,70,65,65,55,yellow,black,white,,corn,trefoil,cross,,,corn
Reimerswaal,Zeeland,51.410.002,4.154.448,242.4,102.0,140.4,21915,34900,188000,0.03,0,0,45,50,55,45,35,30,20,20,20,20,20,20,20,15,15,15,20,red,white,black,blue,sword,lion,,,,crown
Renkum,Gelderland,51.982.983,5.739.978,47.2,46.0,1.2,31577,38200,253000,0.04,0,0,235,210,190,190,195,190,170,155,145,135,120,105,105,100,100,95,95,red,white,yellow,blue,horse,lion,,,,crown
Renswoude,Utrecht,52.074.661,5.538.173,18.5,18.4,0.1,4928,39200,281000,0.03,0,0,10,5,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,white,red,blue,,,,,,,crown
Reusel-De Mierden,Noord-Brabant,51.370.650,5.146.555,78.6,77.9,0.7,12728,37900,270000,0.03,0,0,20,25,25,20,20,20,15,15,20,20,20,15,15,15,15,15,15,blue,yellow,black,,corn,sun,cloud,,,
Rheden,Gelderland,52.005.737,6.027.959,84.4,81.8,2.6,43563,33600,204000,0.05,0,0,200,160,165,185,170,175,175,155,155,150,150,150,150,130,125,125,115,yellow,red,blue,,,,,,,
Rhenen,Utrecht,51.962.140,5.571.116,43.8,42.1,1.7,19123,37100,255000,0.03,0,0,85,75,75,70,55,50,45,40,35,40,40,40,40,40,35,35,35,red,white,,,castle,key,,lion,lion,crown
Ridderkerk,Zuid-Holland,51.870.253,4.602.234,25.3,23.7,1.5,45207,34700,194000,0.04,0,0,315,320,300,290,310,300,305,315,310,310,310,305,310,310,330,325,320,white,green,,,knight,horse,dragon,,,
Rijssen-Holten,Overijssel,52.292.506,6.439.999,94.4,94.1,0.3,37696,36200,220000,0.04,0,0,70,70,65,70,70,70,70,75,80,85,85,85,85,85,80,75,70,,,,,branch,boar,,,,crown
Rijswijk,Zuid-Holland,52.037.698,4.321.974,14.5,14.1,0.4,47680,33100,183000,0.04,0,0,290,320,330,320,325,320,315,315,300,310,305,325,315,330,335,325,340,blue,yellow,,,branch,,,lion,lion,
Roerdalen,Limburg,51.139.166,6.034.269,88.7,88.2,0.6,20808,35000,198000,0.04,0,0,55,55,60,55,50,50,50,40,45,55,50,50,45,40,40,40,35,blue,white,red,,lion,lily,,,,lion
Roermond,Limburg,51.191.320,5.987.772,71.1,60.8,10.3,57030,31500,174000,0.05,1,0,390,385,395,385,385,380,405,395,390,405,400,395,390,375,355,355,350,blue,white,red,,lion,lily,,,,crown
Roosendaal,Noord-Brabant,51.535.849,4.465.321,107.2,106.4,0.7,76930,33900,204000,0.05,1,0,425,560,605,605,595,570,550,510,480,450,455,425,415,400,395,370,355,red,black,white,,lion,rose,,,,crown
Rotterdam,Zuid-Holland,51.924.420,4.477.733,319.4,206.4,112.9,618467,29600,148000,0.04,8,1,4600,5070,5400,5430,5215,4935,4670,4370,4205,4215,4260,4235,4200,4085,4020,4010,4010,green,white,,,lion,,,lion,lion,crown
Rozendaal,Gelderland,52.009.785,5.966.507,27.9,27.9,0.0,1500,56800,462000,,0,0,10,10,10,5,5,10,5,5,5,5,5,5,5,0,0,0,5,blue,yellow,,,rose,,,,,
Rucphen,Noord-Brabant,51.533.567,4.560.320,64.5,64.4,0.1,22213,35300,245000,0.05,0,0,80,70,65,60,50,45,40,40,35,35,35,30,30,25,25,25,25,green,black,red,white,lion,diamond,,,,crown
Schagen,Noord-Holland,52.788.091,4.804.400,187.3,167.9,19.4,46016,35700,222000,0.03,0,0,205,145,130,115,110,95,90,95,90,75,70,70,65,70,70,60,55,yellow,red,,,rose,ring,lily,knight,lion,crown
Scherpenzeel,Gelderland,52.078.930,5.488.065,13.8,13.8,0.0,9496,37100,265000,0.03,0,0,25,30,25,20,15,15,15,15,15,15,15,10,10,10,10,10,10,blue,white,,,lily,,,,,crown
Schiedam,Zuid-Holland,51.916.960,4.398.819,19.9,18.0,1.8,76487,31000,142000,0.04,1,0,695,755,745,720,680,640,605,560,515,500,480,460,455,470,455,455,445,yellow,black,,,lion,,,,,crown
Schiermonnikoog,Friesland,53.489.374,6.230.911,199.1,44.0,155.1,938,30000,250000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red,white,blue,green,monk,,,,,crown
Schinnen,Limburg,50.943.647,5.879.361,24.1,24.1,0.1,12961,35900,193000,0.04,0,0,175,140,130,120,120,95,80,75,70,65,70,60,60,25,30,25,25,blue,yellow,red,white,saint lambert,saint gertrude,snake,,,crown
Schouwen-Duiveland,Zeeland,51.680.357,3.952.013,488.2,230.1,258.1,33821,35300,229000,0.04,0,0,200,145,125,115,110,105,100,75,70,70,60,60,55,55,50,50,50,blue,white,yellow,black,mermaid,merman,wave,lion,lion,crown
's-Gravenhage,Zuid-Holland,52.070.498,4.300.700,98.1,81.9,16.2,508592,31800,188000,0.04,3,0,3780,3935,4020,4090,3940,3835,3725,3470,3375,3315,3305,3250,3170,3095,3075,3030,3010,yellow,green,,,stork,eel,,lion,lion,crown
's-Hertogenbosch,Noord-Brabant,51.711.742,5.301.631,91.8,84.5,7.3,143745,34900,221000,0.04,4,0,1010,950,895,840,810,765,725,715,730,710,705,705,700,690,685,690,675,red,blue,yellow,black,eagle,lion,tree,savage,savage,crown
Simpelveld,Limburg,50.832.849,5.987.771,16.0,16.0,0.0,10844,33300,161000,0.05,0,0,35,35,35,30,30,30,25,20,25,20,20,15,15,10,10,10,10,blue,white,,,shell,dove,ampoule,,,crown
Sint Anthonis,Noord-Brabant,51.627.161,5.885.193,99.8,99.3,0.5,11696,38900,263000,0.04,0,0,115,100,60,25,25,20,15,20,20,10,15,10,10,10,10,10,10,green,yellow,,,saint antony,,,,,
Sint-Michielsgestel,Noord-Brabant,51.641.348,5.352.881,59.3,58.4,0.9,28186,40300,295000,0.04,0,0,70,80,75,75,75,75,70,65,70,65,65,65,55,55,55,55,55,blue,white,,,cross,,,,,crown
Sittard-Geleen,Limburg,51.003.168,5.823.671,80.5,79.0,1.5,93806,31800,157000,0.04,1,0,560,540,515,495,485,490,455,420,415,410,395,385,385,365,370,380,385,yellow,black,red,,,,,,,
Sliedrecht,Zuid-Holland,51.824.868,4.773.162,14.0,12.8,1.2,24528,34600,173000,0.03,0,0,115,105,100,105,95,100,105,100,90,90,90,85,85,85,90,90,90,yellow,black,,,cross,,,,,crown
Sluis,Zeeland,51.308.656,3.387.919,307.2,279.7,27.5,23795,33200,181000,0.03,1,0,105,95,90,95,75,70,60,55,55,45,45,50,45,40,40,40,40,white,red,yellow,blue,stronghold,tower,,lion,lion,crown
Smallingerland,Friesland,53.127.729,6.079.345,126.2,118.2,7.9,55496,31100,168000,0.05,0,0,495,430,390,340,315,315,280,280,275,245,240,235,235,215,210,205,195,white,green,red,,tree,deer,,,,crown
Soest,Utrecht,52.176.352,5.299.197,46.4,46.2,0.2,45430,38700,273000,0.04,0,0,320,270,205,200,205,185,170,170,160,160,160,155,155,155,155,150,135,green,white,yellow,,plow,wave,,,,helmet
Someren,Noord-Brabant,51.384.967,5.712.367,81.5,80.3,1.2,18700,35700,265000,0.04,0,0,145,120,85,60,45,40,30,25,30,35,30,25,25,25,20,20,20,white,black,yellow,orange,lion,millrind,,,,crown
Son en Breugel,Noord-Brabant,51.511.394,5.498.219,26.5,26.0,0.6,16241,40700,295000,0.04,0,0,25,20,20,20,20,20,15,15,15,15,15,15,15,10,20,10,15,yellow,blue,,,sun,,,,,
Stadskanaal,Groningen,52.991.985,6.946.222,119.9,117.7,2.3,32793,29200,146000,0.05,0,0,225,160,125,105,100,80,75,65,60,55,50,45,45,45,45,45,40,white,black,green,yellow,corn,eagle,,,,crown
Staphorst,Overijssel,52.642.914,6.199.494,135.7,134.2,1.5,16365,37800,248000,0.03,0,0,30,30,35,25,25,25,20,15,15,15,15,15,10,15,15,10,15,blue,yellow,,,tower,,,,,
Stede Broec,Noord-Holland,51.511.394,5.498.219,16.4,14.6,1.7,21474,34800,181000,0.04,0,0,80,75,70,65,60,55,45,45,50,50,50,50,40,40,40,40,35,green,white,,,star,,,,,crown
Steenbergen,Noord-Brabant,51.581.240,4.315.599,159.1,146.7,12.5,23409,35500,202000,0.05,1,0,90,75,75,60,60,40,40,40,40,35,35,25,30,30,30,30,30,yellow,red,green,blue,cross,,,mermaid,mermaid,crown
Steenwijkerland,Overijssel,52.741.538,6.049.324,321.6,290.2,31.4,43372,32800,196000,0.06,1,0,125,110,100,110,110,90,80,80,75,70,70,65,55,55,55,65,65,white,black,green,,anchor,cross,,,,crown
Stein,Limburg,50.967.974,5.766.220,22.6,21.2,1.5,25348,34200,180000,0.04,0,0,75,65,65,70,60,60,65,55,55,60,60,60,60,60,60,50,50,red,yellow,black,,saint martin,horse,shield,,,crown
Stichtse Vecht,Utrecht,52.144.755,5.033.208,106.8,96.6,10.2,63823,40800,270000,0.04,0,0,220,240,225,215,210,205,190,180,170,170,165,155,155,155,145,145,140,yellow,grey,blue,red,cross,wave,,lion,lion,crown
Strijen,Zuid-Holland,51.744.684,4.553.920,57.7,50.9,6.9,8678,37400,222000,0.04,0,0,105,35,20,15,15,10,10,10,5,10,10,10,10,10,10,10,10,yellow,red,,,cross,wave,,,,crown
Súdwest-Fryslân,Friesland,53.023.416,5.481.658,841.6,459.6,381.9,84258,32500,175000,0.05,0,0,790,620,530,465,360,315,265,245,225,200,190,180,180,175,165,160,155,blue,white,yellow,black,eagle,,,lion,lion,crown
Ten Boer,Groningen,53.275.888,6.692.600,45.7,45.3,0.4,7465,34600,174000,0.04,0,0,50,35,35,25,20,20,20,15,20,20,15,20,20,20,20,15,10,white,blue,red,yellow,staff,wave,,,,crown
Terneuzen,Zeeland,51.332.285,3.832.426,317.8,250.7,67.1,54711,33000,157000,0.03,1,0,155,130,135,105,105,105,95,90,90,80,80,80,80,85,80,80,80,white,red,blue,,lion,key,wave,,,crown
Terschelling,Friesland,53.397.875,5.346.679,674.0,86.2,587.8,4769,33300,298000,0.04,0,0,25,25,20,15,10,10,10,10,0,0,0,0,0,5,0,0,0,red,blue,yellow,green,lion,tree,seahorse,,,crown
Texel,Noord-Holland,53.054.763,4.797.715,463.2,161.1,302.0,13566,32400,258000,0.04,0,0,55,45,35,35,35,30,30,25,15,15,15,15,15,15,15,15,15,green,black,,,lion,anchor,,,,
Teylingen,Zuid-Holland,52.222.004,4.513.404,33.5,28.6,4.9,35723,41400,285000,0.03,0,0,160,155,150,145,130,120,110,95,105,100,100,100,95,95,90,90,90,yellow,red,black,,lion,,,lion,lion,crown
Tholen,Zeeland,51.533.271,4.216.222,254.0,147.1,106.9,25398,34100,185000,0.04,0,0,80,90,80,80,70,70,55,55,55,50,50,45,40,35,30,30,30,yellow,red,white,blue,ship,lion,,,,crown
Tiel,Gelderland,51.887.618,5.427.877,34.8,32.3,2.5,41729,33600,195000,0.05,0,0,185,200,220,215,185,185,195,180,175,180,190,180,180,180,185,185,180,yellow,black,,,eagle,lion,,lion,lion,crown
Tilburg,Noord-Brabant,51.560.596,5.091.914,119.2,117.3,1.9,210382,31600,187000,0.04,0,1,1285,1465,1470,1400,1295,1210,1165,1095,1060,1065,1030,1005,990,970,985,950,945,blue,yellow,,,stronghold,,,,,
Tubbergen,Overijssel,52.408.907,6.785.489,147.4,147.0,0.4,21216,37700,240000,0.04,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,blue,yellow,,,lion,cross,mountain,,,crown
Twenterand,Overijssel,52.450.068,6.620.745,108.1,106.3,1.8,33939,33700,203000,0.05,0,0,120,110,100,105,95,95,75,65,65,55,50,55,55,50,50,50,45,green,white,blue,,oak,lion,diamond,,,crown
Tynaarlo,Drenthe,53.101.283,6.576.097,147.7,143.5,4.2,32506,37800,236000,0.04,0,0,80,65,65,50,60,55,40,35,40,40,40,35,40,35,40,40,45,red,green,yellow,white,horse,raven,flower,,,crown
